session_num,tr_loss_ave,tr_loss_std,tr_mse_ave,tr_mse_std,tr_mae_ave,tr_mae_std,tr_rmse_ave,tr_rmse_std,val_loss_ave,val_loss_std,val_mse_ave,val_mse_std,val_mae_ave,val_mae_std,val_rmse_ave,val_rmse_std,fc_units,lstm_units,epochs,fc_depth,lstm_depth,lr,tr_loss_fold_0,tr_mse_fold_0,tr_mae_fold_0,tr_rmse_fold_0
1,0.500666483,0,0.500666488,0,0.487881194,0,0.677278263,0,0,0,0,0,0,0,0,0,120,20,1,2,1,0.001,0.500666483,0.500666488,0.487881194,0.677278263
1,0.279157634,0,0.279157636,0,0.392814348,0,0.50503507,0,0,0,0,0,0,0,0,0,120,20,2,2,1,0.001,0.279157634,0.279157636,0.392814348,0.50503507
1,0.149403077,0,0.149403077,0,0.266169262,0,0.372625557,0,0,0,0,0,0,0,0,0,120,20,3,2,1,0.001,0.149403077,0.149403077,0.266169262,0.372625557
1,0.087398133,0,0.087398133,0,0.212845995,0,0.291732931,0,0,0,0,0,0,0,0,0,120,20,4,2,1,0.001,0.087398133,0.087398133,0.212845995,0.291732931
1,0.070770483,0,0.070770484,0,0.189006716,0,0.263146508,0,0,0,0,0,0,0,0,0,120,20,5,2,1,0.001,0.070770483,0.070770484,0.189006716,0.263146508
1,0.062321996,0,0.062321996,0,0.1743038,0,0.247249335,0,0,0,0,0,0,0,0,0,120,20,6,2,1,0.001,0.062321996,0.062321996,0.1743038,0.247249335
1,0.057506359,0,0.057506361,0,0.165108883,0,0.237254541,0,0,0,0,0,0,0,0,0,120,20,7,2,1,0.001,0.057506359,0.057506361,0.165108883,0.237254541
1,0.053712126,0,0.053712125,0,0.157460582,0,0.229241838,0,0,0,0,0,0,0,0,0,120,20,8,2,1,0.001,0.053712126,0.053712125,0.157460582,0.229241838
1,0.050377862,0,0.050377862,0,0.150835356,0,0.222049594,0,0,0,0,0,0,0,0,0,120,20,9,2,1,0.001,0.050377862,0.050377862,0.150835356,0.222049594
1,0.047251713,0,0.047251713,0,0.146082841,0,0.215153599,0,0,0,0,0,0,0,0,0,120,20,10,2,1,0.001,0.047251713,0.047251713,0.146082841,0.215153599
1,0.044965584,0,0.044965584,0,0.140814714,0,0.20975028,0,0,0,0,0,0,0,0,0,120,20,11,2,1,0.001,0.044965584,0.044965584,0.140814714,0.20975028
1,0.042685319,0,0.042685319,0,0.136660853,0,0.204275046,0,0,0,0,0,0,0,0,0,120,20,12,2,1,0.001,0.042685319,0.042685319,0.136660853,0.204275046
1,0.040831788,0,0.040831788,0,0.132980812,0,0.199821871,0,0,0,0,0,0,0,0,0,120,20,13,2,1,0.001,0.040831788,0.040831788,0.132980812,0.199821871
1,0.038683766,0,0.038683766,0,0.129363847,0,0.194430423,0,0,0,0,0,0,0,0,0,120,20,14,2,1,0.001,0.038683766,0.038683766,0.129363847,0.194430423
1,0.03679814,0,0.03679814,0,0.126407823,0,0.1896003,0,0,0,0,0,0,0,0,0,120,20,15,2,1,0.001,0.03679814,0.03679814,0.126407823,0.1896003
1,0.034774973,0,0.034774973,0,0.12373704,0,0.184430518,0,0,0,0,0,0,0,0,0,120,20,16,2,1,0.001,0.034774973,0.034774973,0.12373704,0.184430518
1,0.033617785,0,0.033617785,0,0.120659253,0,0.181403297,0,0,0,0,0,0,0,0,0,120,20,17,2,1,0.001,0.033617785,0.033617785,0.120659253,0.181403297
1,0.032412465,0,0.032412465,0,0.118171796,0,0.177905881,0,0,0,0,0,0,0,0,0,120,20,18,2,1,0.001,0.032412465,0.032412465,0.118171796,0.177905881
1,0.031708005,0,0.031708005,0,0.116486639,0,0.176036719,0,0,0,0,0,0,0,0,0,120,20,19,2,1,0.001,0.031708005,0.031708005,0.116486639,0.176036719
1,0.031536703,0,0.031536703,0,0.115359748,0,0.175473104,0,0,0,0,0,0,0,0,0,120,20,20,2,1,0.001,0.031536703,0.031536703,0.115359748,0.175473104
1,0.030326528,0,0.030326528,0,0.112825522,0,0.171992724,0,0,0,0,0,0,0,0,0,120,20,21,2,1,0.001,0.030326528,0.030326528,0.112825522,0.171992724
1,0.029870283,0,0.029870283,0,0.111332932,0,0.170690654,0,0,0,0,0,0,0,0,0,120,20,22,2,1,0.001,0.029870283,0.029870283,0.111332932,0.170690654
1,0.029313831,0,0.02931383,0,0.11006024,0,0.169097236,0,0,0,0,0,0,0,0,0,120,20,23,2,1,0.001,0.029313831,0.02931383,0.11006024,0.169097236
1,0.028893034,0,0.028893034,0,0.108796302,0,0.167946039,0,0,0,0,0,0,0,0,0,120,20,24,2,1,0.001,0.028893034,0.028893034,0.108796302,0.167946039
1,0.028578749,0,0.028578749,0,0.107876213,0,0.167169033,0,0,0,0,0,0,0,0,0,120,20,25,2,1,0.001,0.028578749,0.028578749,0.107876213,0.167169033
1,0.028355855,0,0.028355855,0,0.106635585,0,0.166257828,0,0,0,0,0,0,0,0,0,120,20,26,2,1,0.001,0.028355855,0.028355855,0.106635585,0.166257828
1,0.027730083,0,0.027730083,0,0.105256277,0,0.164480562,0,0,0,0,0,0,0,0,0,120,20,27,2,1,0.001,0.027730083,0.027730083,0.105256277,0.164480562
1,0.0278643,0,0.0278643,0,0.1050661,0,0.164895315,0,0,0,0,0,0,0,0,0,120,20,28,2,1,0.001,0.0278643,0.0278643,0.1050661,0.164895315
1,0.027239759,0,0.027239759,0,0.103982814,0,0.16316986,0,0,0,0,0,0,0,0,0,120,20,29,2,1,0.001,0.027239759,0.027239759,0.103982814,0.16316986
1,0.027216581,0,0.027216581,0,0.103101012,0,0.162871486,0,0,0,0,0,0,0,0,0,120,20,30,2,1,0.001,0.027216581,0.027216581,0.103101012,0.162871486
1,0.02678848,0,0.02678848,0,0.10236194,0,0.161609908,0,0,0,0,0,0,0,0,0,120,20,31,2,1,0.001,0.02678848,0.02678848,0.10236194,0.161609908
1,0.026738801,0,0.0267388,0,0.101546579,0,0.161628912,0,0,0,0,0,0,0,0,0,120,20,32,2,1,0.001,0.026738801,0.0267388,0.101546579,0.161628912
1,0.026367336,0,0.026367336,0,0.100828039,0,0.160437105,0,0,0,0,0,0,0,0,0,120,20,33,2,1,0.001,0.026367336,0.026367336,0.100828039,0.160437105
1,0.025981711,0,0.025981711,0,0.100000092,0,0.159352579,0,0,0,0,0,0,0,0,0,120,20,34,2,1,0.001,0.025981711,0.025981711,0.100000092,0.159352579
1,0.025745845,0,0.025745845,0,0.099350827,0,0.158688016,0,0,0,0,0,0,0,0,0,120,20,35,2,1,0.001,0.025745845,0.025745845,0.099350827,0.158688016
1,0.02575334,0,0.02575334,0,0.098593827,0,0.158365946,0,0,0,0,0,0,0,0,0,120,20,36,2,1,0.001,0.02575334,0.02575334,0.098593827,0.158365946
1,0.025474292,0,0.025474292,0,0.098521045,0,0.157815013,0,0,0,0,0,0,0,0,0,120,20,37,2,1,0.001,0.025474292,0.025474292,0.098521045,0.157815013
1,0.02511806,0,0.025118059,0,0.097365271,0,0.156501241,0,0,0,0,0,0,0,0,0,120,20,38,2,1,0.001,0.02511806,0.025118059,0.097365271,0.156501241
1,0.025184551,0,0.025184551,0,0.09755607,0,0.156904602,0,0,0,0,0,0,0,0,0,120,20,39,2,1,0.001,0.025184551,0.025184551,0.09755607,0.156904602
1,0.02511444,0,0.025114441,0,0.097446276,0,0.15684723,0,0,0,0,0,0,0,0,0,120,20,40,2,1,0.001,0.02511444,0.025114441,0.097446276,0.15684723
1,0.025294248,0,0.025294248,0,0.097182859,0,0.156913218,0,0,0,0,0,0,0,0,0,120,20,41,2,1,0.001,0.025294248,0.025294248,0.097182859,0.156913218
1,0.024554266,0,0.024554266,0,0.096055136,0,0.154833602,0,0,0,0,0,0,0,0,0,120,20,42,2,1,0.001,0.024554266,0.024554266,0.096055136,0.154833602
1,0.024838277,0,0.024838277,0,0.096516112,0,0.155773622,0,0,0,0,0,0,0,0,0,120,20,43,2,1,0.001,0.024838277,0.024838277,0.096516112,0.155773622
1,0.024465865,0,0.024465865,0,0.095615038,0,0.154550274,0,0,0,0,0,0,0,0,0,120,20,44,2,1,0.001,0.024465865,0.024465865,0.095615038,0.154550274
1,0.024115093,0,0.024115094,0,0.09457025,0,0.153561354,0,0,0,0,0,0,0,0,0,120,20,45,2,1,0.001,0.024115093,0.024115094,0.09457025,0.153561354
1,0.024082323,0,0.024082323,0,0.094589284,0,0.153413426,0,0,0,0,0,0,0,0,0,120,20,46,2,1,0.001,0.024082323,0.024082323,0.094589284,0.153413426
1,0.023972037,0,0.023972037,0,0.094307557,0,0.153207462,0,0,0,0,0,0,0,0,0,120,20,47,2,1,0.001,0.023972037,0.023972037,0.094307557,0.153207462
1,0.023778755,0,0.023778755,0,0.094052091,0,0.152422013,0,0,0,0,0,0,0,0,0,120,20,48,2,1,0.001,0.023778755,0.023778755,0.094052091,0.152422013
1,0.023403305,0,0.023403305,0,0.092838585,0,0.151232276,0,0,0,0,0,0,0,0,0,120,20,49,2,1,0.001,0.023403305,0.023403305,0.092838585,0.151232276
1,0.023672271,0,0.023672271,0,0.093328401,0,0.15214611,0,0,0,0,0,0,0,0,0,120,20,50,2,1,0.001,0.023672271,0.023672271,0.093328401,0.15214611
1,0.023672271,0,0.023672271,0,0.093328401,0,0.15214611,0,0,0,0,0,0,0,0,0,120,20,50,2,1,0.001,0.023672271,0.023672271,0.093328401,0.15214611
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,20,0,2,1,5.00E-05,0,0,0,0
1,0.209433985,0,0.209433985,0,0.215000114,0,0.36619627,0,0,0,0,0,0,0,0,0,120,20,1,2,1,5.00E-05,0.209433985,0.209433985,0.215000114,0.36619627
1,0.170646105,0,0.170646105,0,0.205656721,0,0.341067836,0,0,0,0,0,0,0,0,0,120,20,2,2,1,5.00E-05,0.170646105,0.170646105,0.205656721,0.341067836
1,0.17080683,0,0.17080683,0,0.20880281,0,0.341914249,0,0,0,0,0,0,0,0,0,120,20,3,2,1,5.00E-05,0.17080683,0.17080683,0.20880281,0.341914249
1,0.170516061,0,0.170516061,0,0.210108617,0,0.342388836,0,0,0,0,0,0,0,0,0,120,20,4,2,1,5.00E-05,0.170516061,0.170516061,0.210108617,0.342388836
1,0.170887177,0,0.170887177,0,0.211094025,0,0.342975371,0,0,0,0,0,0,0,0,0,120,20,5,2,1,5.00E-05,0.170887177,0.170887177,0.211094025,0.342975371
1,0.171132412,0,0.171132412,0,0.211790511,0,0.343893807,0,0,0,0,0,0,0,0,0,120,20,6,2,1,5.00E-05,0.171132412,0.171132412,0.211790511,0.343893807
1,0.175880413,0,0.175880413,0,0.216706721,0,0.346889853,0,0,0,0,0,0,0,0,0,120,20,7,2,1,5.00E-05,0.175880413,0.175880413,0.216706721,0.346889853
1,0.175274213,0,0.175274213,0,0.216565476,0,0.34671134,0,0,0,0,0,0,0,0,0,120,20,8,2,1,5.00E-05,0.175274213,0.175274213,0.216565476,0.34671134
1,0.17507896,0,0.17507896,0,0.216431611,0,0.346452293,0,0,0,0,0,0,0,0,0,120,20,9,2,1,5.00E-05,0.17507896,0.17507896,0.216431611,0.346452293
